"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2019-01-01 ~ 2019-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 인천 계양구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","인천광역시 계양구 둑실동","산1**","임야","개발제한구역","-","201912","31","158.67","2,352","지분","-","-","-"
"2","인천광역시 계양구 둑실동","산1**","임야","개발제한구역","-","201912","31","33.05","490","지분","-","-","-"
"3","인천광역시 계양구 귤현동","4**","전","개발제한구역","8m미만","201912","30","962.00","23,571","","-","-","-"
"4","인천광역시 계양구 상야동","3**","답","개발제한구역","8m미만","201912","24","704.00","11,700","","-","-","-"
"5","인천광역시 계양구 둑실동","산1**","임야","개발제한구역","-","201912","24","33.00","490","지분","-","-","-"
"6","인천광역시 계양구 둑실동","산1**","임야","개발제한구역","-","201912","24","69.00","1,029","지분","-","-","-"
"7","인천광역시 계양구 둑실동","산1**","임야","개발제한구역","-","201912","24","307.00","4,557","지분","-","-","-"
"8","인천광역시 계양구 효성동","1**","도로","자연녹지지역","-","201912","23","43.00","5,640","지분","-","-","-"
"9","인천광역시 계양구 둑실동","산1**","임야","개발제한구역","-","201912","23","69.00","1,029","지분","-","-","-"
"10","인천광역시 계양구 둑실동","산1**","임야","개발제한구역","-","201912","23","132.00","1,960","지분","-","-","-"
