"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2018-01-01 ~ 2018-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 고양시 덕양구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 고양시 덕양구 관산동","6**","잡종지","계획관리지역","8m미만","201812","31","9.00","270","지분","-","-","-"
"2","경기도 고양시 덕양구 관산동","6**","도로","계획관리지역","8m미만","201812","31","60.00","1,800","지분","-","-","-"
"3","경기도 고양시 덕양구 관산동","6**","임야","계획관리지역","8m미만","201812","31","15.00","450","지분","-","-","-"
"4","경기도 고양시 덕양구 내유동","2**","대","계획관리지역","8m미만","201812","31","347.00","22,043","","-","-","-"
"5","경기도 고양시 덕양구 내유동","산1**","임야","보전관리지역","8m미만","201812","31","576.00","36,590","지분","-","-","-"
"6","경기도 고양시 덕양구 관산동","6**","임야","계획관리지역","8m미만","201812","31","5.00","150","지분","-","-","-"
"7","경기도 고양시 덕양구 관산동","6**","임야","계획관리지역","-","201812","31","40.00","1,200","지분","-","-","-"
"8","경기도 고양시 덕양구 내유동","2**","전","계획관리지역","8m미만","201812","31","1143.00","72,609","지분","-","-","-"
"9","경기도 고양시 덕양구 오금동","산1**","임야","개발제한구역","8m미만","201812","31","18.34","100","지분","-","-","-"
"10","경기도 고양시 덕양구 오금동","산1**","임야","개발제한구역","8m미만","201812","31","129.95","400","지분","-","-","-"
