연월,일,시군구,법정동,번지,지목,용도지역,도로조건,계약면적_m2,거래금액_만원,지분구분,해제일,거래유형,중개사소재지,지구포함,지구
202112,30,서초구,우면동,6**,대,개발제한구역,8m미만,2142.00,280000,,-,중개거래,서울 서초구,1,서리풀
202112,28,서초구,염곡동,산3*,임야,개발제한구역,-,4760.00,85680,,-,직거래,-,1,서리풀
202112,23,서초구,서초동,1***,대,제3종일반주거지역,12m미만,2140.80,8000000,,-,직거래,-,0,
202112,22,서초구,방배동,5**,도로,제1종일반주거지역,8m미만,4.50,3366,지분,-,직거래,-,0,
202112,20,서초구,반포동,6**,도로,제2종일반주거지역,-,182.00,9438,,-,중개거래,경기 남양주시,0,
202112,20,서초구,반포동,5**,도로,제1종일반주거지역,-,40.00,2059,,-,중개거래,경기 남양주시,0,
202112,20,서초구,염곡동,1**,대,제1종전용주거지역,8m미만,399.00,320000,,-,중개거래,서울 서초구,1,서리풀
202112,20,서초구,방배동,*,도로,제1종일반주거지역,12m미만,605.00,31403,,-,중개거래,경기 남양주시,0,
202112,20,서초구,방배동,*,도로,제1종일반주거지역,12m미만,605.00,31403,,20220308,중개거래,경기 남양주시,0,
202112,20,서초구,반포동,5**,도로,제1종일반주거지역,-,40.00,2059,,20220308,중개거래,경기 남양주시,0,
202112,20,서초구,방배동,*,도로,제1종일반주거지역,12m미만,605.00,31403,,20220304,중개거래,경기 남양주시,0,
202112,20,서초구,반포동,6**,도로,제2종일반주거지역,-,182.00,9438,,20220304,중개거래,경기 남양주시,0,
202112,20,서초구,반포동,5**,도로,제1종일반주거지역,-,40.00,2059,,20220304,중개거래,경기 남양주시,0,
202112,20,서초구,반포동,6**,도로,제2종일반주거지역,-,182.00,9438,,20220308,중개거래,경기 남양주시,0,
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,153.00,69424,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,145.00,65794,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,115.00,52181,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,97.00,44014,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,7471.00,3389966,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,146.00,66248,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,140.00,63525,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,도로,자연녹지지역,12m미만,30.10,13672,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,107.00,48551,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,7.00,3176,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,441.00,200104,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,386.00,175148,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,335.00,152006,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,556.00,252285,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,12m미만,583.00,264536,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,762.00,345758,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,347.00,157451,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,210.00,95288,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,393.00,178324,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,230.00,104363,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,319.00,144746,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,50.89,23091,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,76.33,34636,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,50.89,23091,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,50.89,23091,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,509.00,230959,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1004.00,455565,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,972.00,441045,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,922.00,418358,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,600.00,272250,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,221.00,100279,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,838.00,380243,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,777.00,352564,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,332.20,150736,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,29.33,13310,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,159.00,72146,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,29.33,13310,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,81.25,36867,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1086.00,492773,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,879.00,398846,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,143.00,64886,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1562.00,708757,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,470.01,213267,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,166.00,75323,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,132.00,59895,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,4124.00,1871265,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1500.00,680625,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,352.00,159720,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,257.00,116614,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,888.50,403157,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,210.46,95497,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,534.00,242303,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,457.00,207364,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,937.00,425164,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,8m미만,176.50,80087,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1278.00,579893,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,8m미만,205.00,93019,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,8m미만,339.00,153821,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,12m미만,356.00,161535,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,8m미만,251.00,113891,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,8m미만,127.00,57626,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,8m미만,193.00,87574,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,260.00,117975,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,729.00,330784,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,602.00,273158,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,697.00,316264,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,669.00,303559,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,351.00,159266,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,108.22,49106,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,162.33,73659,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,108.22,49106,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,108.22,49106,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,203.00,92111,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,246.00,111623,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,126.00,57173,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,447.00,202826,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,531.00,240941,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,293.00,132949,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,920.00,417450,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,326.00,147923,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,67.00,30401,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,397.00,180139,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,470.00,213263,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,86.00,39023,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,461.00,209179,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,502.00,227783,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,546.00,247748,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,531.00,240941,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,288.00,130680,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1012.00,459195,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1131.00,513191,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,369.00,167434,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1052.00,477345,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1101.00,499579,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,434.00,196928,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,714.00,323978,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1530.00,694238,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,266.00,120698,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1206.00,547223,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,616.00,279510,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,182.00,82583,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1320.00,598950,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,525.00,238219,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,958.00,434693,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,제2종전용주거지역,-,243.00,110261,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,제2종전용주거지역,-,11.00,4991,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,12m미만,347.00,157451,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,12m미만,375.00,170156,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,871.75,395557,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1658.00,752318,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,339.00,153821,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,725.00,328969,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,23.00,10436,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,8m미만,14.00,6353,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,1001.99,454653,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,53.00,24049,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,85.00,38569,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,175.00,79406,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,119.00,53996,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,180.00,81675,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,131.00,59441,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,240.00,108900,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,4757.00,2158489,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,도로,자연녹지지역,8m미만,404.00,183315,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,107.00,48551,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,-,61.00,27679,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,82.00,37208,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,도로,자연녹지지역,8m미만,176.00,79860,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,자연녹지지역,8m미만,743.70,337454,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,임야,자연녹지지역,8m미만,3220.00,1461075,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,자연녹지지역,-,38.67,17545,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,자연녹지지역,-,38.67,17545,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,제2종전용주거지역,8m미만,122.00,55358,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,자연녹지지역,-,87.54,39722,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,임야,자연녹지지역,8m미만,68.00,30855,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,임야,자연녹지지역,8m미만,419.00,190121,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,자연녹지지역,8m미만,1178.80,534881,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,제1종전용주거지역,-,849.08,385271,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,자연녹지지역,-,38.66,17545,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,답,자연녹지지역,8m미만,2.65,1204,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,답,자연녹지지역,-,3.00,1361,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,답,제2종전용주거지역,8m미만,2.65,1204,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,답,제2종전용주거지역,8m미만,2.65,1204,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,서초동,1***,대,제3종일반주거지역,25m미만,274.19,255880,지분,-,직거래,-,0,
202112,17,서초구,서초동,1***,대,제3종일반주거지역,25m이상,185.50,114490,지분,-,직거래,-,0,
202112,17,서초구,서초동,1***,대,제3종일반주거지역,12m미만,133.35,109970,지분,-,직거래,-,0,
202112,17,서초구,서초동,1***,대,제3종일반주거지역,25m이상,79.50,49070,지분,-,직거래,-,0,
202112,17,서초구,서초동,1***,대,제3종일반주거지역,25m미만,117.51,109660,지분,-,직거래,-,0,
202112,17,서초구,서초동,1***,대,제3종일반주거지역,12m미만,57.15,47130,지분,-,직거래,-,0,
202112,17,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,22.00,9332,지분,-,직거래,-,0,
202112,17,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,22.00,8740,지분,-,직거래,-,0,
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,724.00,328515,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,31.80,14438,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,700.00,317625,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,8m미만,176.20,80087,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,331.00,150191,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,862.00,391133,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,477.00,216439,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,*,대,자연녹지지역,12m미만,728.00,330330,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,2603.00,1181111,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,22.10,10024,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,448.00,203280,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,511.00,231866,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,546.00,247748,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,3**,대,자연녹지지역,8m미만,894.00,64886,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,자연녹지지역,8m미만,662.00,300383,,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,자연녹지지역,8m미만,495.80,224969,지분,20220502,직거래,-,1,서리풀
202112,17,서초구,내곡동,산1*,임야,자연녹지지역,8m미만,743.70,337454,지분,20220502,직거래,-,1,서리풀
202112,15,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,9.00,3154,지분,-,직거래,-,0,
202112,15,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,10.00,3504,지분,-,직거래,-,0,
202112,15,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,13.00,5212,지분,-,직거래,-,0,
202112,15,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,10.00,3576,지분,-,직거래,-,0,
202112,15,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,21.00,8425,지분,-,직거래,-,0,
202112,15,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,52.00,20874,지분,-,직거래,-,0,
202112,14,서초구,원지동,4**,전,개발제한구역,-,734.00,49765,,-,직거래,-,1,서리풀
202112,14,서초구,원지동,4**,전,개발제한구역,-,251.00,17194,,-,직거래,-,1,서리풀
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,6.00,2103,지분,-,직거래,-,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,7.00,2453,지분,-,직거래,-,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,10.00,4087,지분,-,직거래,-,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,6.00,2538,지분,-,직거래,-,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,10.00,3576,지분,-,직거래,-,0,
202112,08,서초구,양재동,3**,대,제2종일반주거지역,8m미만,337.60,610000,,20220128,중개거래,서울 송파구,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,12.00,5096,지분,-,직거래,-,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,12.00,4721,지분,-,직거래,-,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,30.00,11518,지분,-,직거래,-,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,15.00,5257,지분,-,직거래,-,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,30.00,10513,지분,-,직거래,-,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,14.00,5791,지분,-,직거래,-,0,
202112,08,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,12.00,5085,지분,-,직거래,-,0,
202112,06,서초구,원지동,산7*,임야,개발제한구역,-,24198.00,389588,,-,직거래,-,1,서리풀
202112,06,서초구,원지동,산7*,임야,개발제한구역,-,694.00,11312,,-,직거래,-,1,서리풀
202112,06,서초구,원지동,산7*,임야,개발제한구역,-,1388.00,22624,,-,직거래,-,1,서리풀
202112,04,서초구,신원동,4**,대,제1종전용주거지역,8m미만,225.00,197200,,-,중개거래,서울 서초구,1,서리풀
202112,02,서초구,방배동,1*,대,제2종일반주거지역,12m미만,27.25,260,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,15.00,5257,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,16.00,6193,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,16.00,5607,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,7.00,2453,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,13.00,5139,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,13.00,4993,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,10.00,3872,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,30.00,11169,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,9.00,3154,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,33.00,11565,지분,-,직거래,-,0,
202112,01,서초구,내곡동,2**,임야,개발제한구역,8m미만,1016.00,64470,,-,중개거래,서울 서초구,1,서리풀
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,6.00,2103,지분,-,직거래,-,0,
202112,01,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,23.00,9157,지분,-,직거래,-,0,
202111,30,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,90.00,29400,지분,-,직거래,-,0,
202111,30,서초구,방배동,*,도로,제1종일반주거지역,12m미만,10.00,3504,,-,직거래,-,0,
202111,30,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,17.00,5958,지분,-,직거래,-,0,
202111,30,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,33.00,11565,지분,-,직거래,-,0,
202111,29,서초구,방배동,5**,대,제2종일반주거지역,8m미만,2.00,952,,-,직거래,-,0,
202111,26,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,33.00,11565,지분,-,직거래,-,0,
202111,20,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,7.00,2453,지분,-,직거래,-,0,
202111,19,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,90.00,29400,지분,-,직거래,-,0,
202111,19,서초구,원지동,3**,대,개발제한구역,-,440.00,21800,지분,-,직거래,-,1,서리풀
202111,18,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,8.00,2804,지분,-,직거래,-,0,
202111,17,서초구,방배동,4**,도로,제2종일반주거지역,8m미만,34.16,16535,지분,-,직거래,-,0,
202111,17,서초구,방배동,4**,대,제2종일반주거지역,8m미만,11.81,5598,지분,-,직거래,-,0,
202111,17,서초구,방배동,4**,대,제2종일반주거지역,8m미만,37.86,18023,지분,-,직거래,-,0,
202111,17,서초구,방배동,4**,대,제2종일반주거지역,8m미만,37.86,18023,지분,-,직거래,-,0,
202111,17,서초구,방배동,4**,대,제2종일반주거지역,8m미만,11.81,5598,지분,-,직거래,-,0,
202111,17,서초구,방배동,4**,도로,제2종일반주거지역,8m미만,34.16,16535,지분,-,직거래,-,0,
202111,15,서초구,방배동,*,도로,제1종일반주거지역,12m미만,10.00,545,,-,중개거래,경기 남양주시,0,
202111,15,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,902.00,49114,,20211130,중개거래,경기 남양주시,0,
202111,15,서초구,방배동,*,도로,제1종일반주거지역,12m미만,10.00,545,,20211130,중개거래,경기 남양주시,0,
202111,15,서초구,방배동,1*,도로,제1종일반주거지역,8m미만,902.00,49114,,-,중개거래,경기 남양주시,0,
202111,13,서초구,내곡동,*,답,개발제한구역,12m미만,1094.00,132373,,-,직거래,-,1,서리풀
202111,10,서초구,방배동,*,대,제1종일반주거지역,12m미만,3.30,1180,지분,-,직거래,-,0,
